"id","CategoryChildID","LanguageID","CategoryChildName"
"1","1","1","Kaffee"
"2","1","2","Café"
"3","1","3","Caffè"
"4","1","4","Coffee"
"5","2","1","Tee"
"6","2","2","Thé"
"7","2","3","Tè"
"8","2","4","Tee"
"9","3","1","Softdrinks"
"10","3","2","Softdrinks"
"11","3","3","Softdrinks"
"12","3","4","Softdrinks"
"13","4","1","Säfte"
"14","4","2","Jus"
"15","4","3","Succhi"
"16","4","4","Juices"
"17","5","1","Bier"
"18","5","2","Bière"
"19","5","3","Birra"
"20","5","4","Beer"
"21","6","1","Wein"
"22","6","2","Vin"
"23","6","3","Vino"
"24","6","4","Wine"
"25","6","1","Drinks"
"26","7","2","Drinks"
"27","7","3","Drinks"
"28","7","4","Drinks"
"29","8","1","Frisches Obst & Gemüse"
"30","8","2","Fruits & légumes frais"
"31","8","3","Frutta & verdura fresca"
"32","8","4","Fresh fruits & vegetables"
"33","9","1","Trockenfrüchte"
"34","9","2","Fruits secs"
"35","9","3","Frutta secca"
"36","9","4","Dried fruits"
"37","10","1","Aus Konserven"
"38","10","2","Fruits secs"
"39","10","3","Frutta secca"
"40","10","4","Dried fruits"
"41","11","1","Brot & Brötchen"
"42","11","2","Pain & petits pains"
"43","11","3","Pane & panini"
"44","11","4","Bread & rolls"
"45","12","1","Teigwaren"
"46","12","2","Pâtes"
"47","12","3","Pasta"
"48","12","4","Pasta"
"49","13","1","Reis"
"50","13","2","Riz"
"51","13","3","Riso"
"52","13","4","Rice"
"53","14","1","Müsli & Cornflakes"
"54","14","2","Muesli & flocons de maïs"
"55","14","3","Muesli & cornflakes"
"56","14","4","Muesli & cornflakes"
"57","15","1","Milch"
"58","15","2","Lait"
"59","15","3","Latte"
"60","15","4","Milk"
"61","16","1","Milchersatz"
"62","16","2","Substitut de lait"
"63","16","3","Sostituto del latte"
"64","16","4","Milk substitute"
"65","17","1","Käse"
"66","17","2","Fromage"
"67","17","3","Formaggio"
"68","17","4","Cheese"
"69","18","1","Joghurt"
"70","18","2","Yaourt"
"71","18","3","Yogurt"
"72","18","4","Yogurt"
"73","19","1","Fleischgerichte"
"74","19","2","Plats de viande"
"75","19","3","Piatti a base di carne"
"76","19","4","Meat dishes"
"77","20","1","Wurstwaren"
"78","20","2","Charcuterie"
"79","20","3","Salumi"
"80","20","4","Sausages"
"81","21","1","Fischgerichte"
"82","21","2","Plats de poisson"
"83","21","3","Piatti a base di pesce"
"84","21","4","Fish dishes"
"85","22","1","Pizza"
"86","22","2","Pizza"
"87","22","3","Pizza"
"88","22","4","Pizza"
"89","23","1","McDonalds"
"90","23","2","McDonalds"
"91","23","3","McDonalds"
"92","23","3","McDonalds"
"93","23","4","McDonalds"
"94","24","1","Burger King"
"95","24","2","Burger King"
"96","24","3","Burger King"
"97","24","4","Burger King"
"98","25","1","Kekse & Gebäck"
"99","25","2","Biscuits & pâtisseries"
"100","25","3","Biscotti & dolci"
"101","25","4","Cookies & pastries"
"102","26","1","Salziges"
"103","26","2","Salé"
"104","26","3","Salato"
"105","26","4","Savory"
"106","27","1","Nüsse"
"107","27","2","Noix"
"108","27","3","Noci"
"109","27","4","Nuts"
"110","28","1","Popcorn & Chips"
"111","28","2","Popcorn & Chips"
"112","28","3","Popcorn & Patatine"
"113","28","4","Popcorn & Chips"
"114","29","1","Kuchen, Torten, Süsses"
"115","29","2","Gâteaux, Tartes, Sucreries"
"116","29","3","Torte, Dolci, Dessert"
"117","29","4","Cakes, Pastries, Sweets"
