"id","CategoryParentID","LanguageID","CategoryParentName"
"1","1","1","Getränke"
"2","1","2","Boissons"
"3","1","3","Bevande"
"4","1","4","Drinks"
"5","2","1","Obst & Gemüse"
"6","2","2","Fruits & Légumes"
"7","2","3","Frutta & Verdura"
"8","2","4","Fruit & Vegetables"
"9","3","1","Getreide & Backwaren"
"10","3","2","Céréales & Produits de Boulangerie"
"11","3","3","Cereali & Prodotti da Forno"
"12","3","4","Grains & Baked Goods"
"13","4","1","Milchprodukte & Milchersatz"
"14","4","2","Produits Laitiers & Substituts Laitiers"
"15","4","3","Latticini & Sostituti del Latte"
"16","4","4","Dairy Products & Dairy Alternatives"
"17","5","1","Fleisch & Fisch"
"18","5","2","Viande & Poisson"
"19","5","3","Carne & Pesce"
"20","5","4","Meat & Fish"
"21","6","1","Fast Food"
"22","6","2","Fast Food"
"23","6","3","Fast Food"
"24","6","4","Fast Food"
"25","7","1","Sacks & Süsses"
"26","7","2","Snacks & Douceurs"
"27","7","3","Snack & Dolci."
"28","7","4","Snacks & Sweets"
